Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,23350.0,23799.0,23241.099609375,23602.150390625,23316.62109375,16716
2020-01-02,23622.0,23849.0,23400.0,23587.0,23301.654296875,17276
2020-01-03,23520.0,23640.80078125,23205.25,23281.94921875,23000.294921875,14078
2020-01-06,23263.599609375,23263.599609375,22616.0,22908.099609375,22630.966796875,21088
2020-01-07,22910.0,23175.0,22619.5,22830.849609375,22554.65234375,25378
2020-01-08,22682.05078125,23000.0,22450.0,22831.400390625,22555.197265625,38756
2020-01-09,23000.0,23660.0,22941.0,23544.849609375,23260.015625,58676
2020-01-10,23512.0,23860.19921875,23392.849609375,23727.849609375,23440.80078125,41097
2020-01-13,23799.0,23799.05078125,23011.150390625,23156.55078125,22876.4140625,33606
2020-01-14,23202.0,24250.0,23202.0,23919.55078125,23630.18359375,58627
2020-01-15,23820.0,24370.0,23700.05078125,24296.44921875,24002.521484375,23480
2020-01-16,24379.900390625,25580.0,24161.05078125,25473.5,25165.33203125,51493
2020-01-17,25440.0,25997.0,25234.05078125,25854.849609375,25542.068359375,27398
2020-01-20,26010.0,26388.80078125,25208.0,25377.849609375,25070.83984375,38562
2020-01-21,25377.849609375,25600.0,25160.599609375,25299.94921875,24993.880859375,79781
2020-01-22,25320.25,25750.0,25311.25,25428.19921875,25120.580078125,16828
2020-01-23,25350.0,25990.0,25350.0,25851.55078125,25538.810546875,20683
2020-01-24,25874.0,26882.599609375,25700.5,26214.5,25897.3671875,42596
2020-01-27,26199.0,26738.400390625,26054.0,26307.150390625,25988.8984375,32530
2020-01-28,26440.0,26564.900390625,25070.0,25145.44921875,24841.251953125,43686
2020-01-29,25220.0,25399.19921875,24670.0,25039.150390625,24736.236328125,43899
2020-01-30,25144.05078125,25144.05078125,24300.099609375,24425.19921875,24129.71484375,36054
2020-01-31,24580.0,24737.849609375,24120.0,24437.75,24142.11328125,22781
2020-02-03,23600.0,24500.0,23599.80078125,24324.650390625,24030.380859375,31743
