Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,24.899999618530273,25.799999237060547,24.350000381469727,24.799999237060547,23.794593811035156,381938573
2021-02-01,25.25,25.399999618530273,24.899999618530273,25.100000381469727,24.082433700561523,72044464
2021-02-02,25.450000762939453,25.450000762939453,24.700000762939453,24.75,23.74662208557129,36735442
2021-02-03,24.799999237060547,24.899999618530273,24.049999237060547,24.25,23.26689338684082,45816269
2021-02-04,24.25,25.799999237060547,23.850000381469727,25.350000381469727,24.322298049926758,88486029
2021-02-05,25.600000381469727,26.200000762939453,25.549999237060547,25.700000762939453,24.658109664916992,56318695
2021-02-08,25.899999618530273,25.950000762939453,25.600000381469727,25.75,24.70608139038086,28324374
2021-02-09,25.75,25.799999237060547,25.200000762939453,25.299999237060547,24.274324417114258,25243532
2021-02-10,25.399999618530273,25.799999237060547,25.0,25.399999618530273,24.370269775390625,33132159
2021-02-11,25.399999618530273,25.649999618530273,25.25,25.399999618530273,24.370269775390625,13586295
2021-02-12,25.5,25.549999237060547,25.299999237060547,25.399999618530273,24.370269775390625,15658220
2021-02-15,26.200000762939453,26.200000762939453,25.649999618530273,25.75,24.70608139038086,45629832
2021-02-16,25.899999618530273,26.0,25.799999237060547,25.899999618530273,24.850000381469727,34557518
2021-02-17,25.299999237060547,25.600000381469727,24.899999618530273,25.299999237060547,25.299999237060547,28638408
2021-02-18,25.450000762939453,25.799999237060547,25.399999618530273,25.649999618530273,25.649999618530273,21022422
2021-02-19,25.649999618530273,25.700000762939453,25.200000762939453,25.350000381469727,25.350000381469727,14542153
2021-02-22,25.299999237060547,25.399999618530273,24.950000762939453,25.0,25.0,16652770
2021-02-23,25.0,25.149999618530273,24.899999618530273,24.950000762939453,24.950000762939453,13021961
2021-02-24,24.899999618530273,25.200000762939453,24.850000381469727,24.899999618530273,24.899999618530273,10958830
2021-02-25,24.950000762939453,25.200000762939453,24.899999618530273,24.950000762939453,24.950000762939453,22761296
2021-02-26,24.850000381469727,24.950000762939453,24.5,24.649999618530273,24.649999618530273,36424500
